KEGG_ID,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,pathway_7,pathway_8,pathway_9,pathway_10
C01825,map00053,map01100,map01110,,,,,,,
C01826,,,,,,,,,,
C01829,map00350,map01100,map04080,map04918,map04919,map04976,map05320,,,
C01832,map00062,map00071,map01100,map01212,,,,,,
C01833,,,,,,,,,,
C01834,map02010,,,,,,,,,
C01835,map02010,map04973,,,,,,,,
C01836,map04080,,,,,,,,,
C01837,,,,,,,,,,
C01838,,,,,,,,,,
C01839,,,,,,,,,,
C01841,map00909,map00999,map01130,,,,,,,
C01842,,,,,,,,,,
C01843,,,,,,,,,,
C01844,map04976,,,,,,,,,
C01845,map00640,,,,,,,,,
C01847,map00740,map01057,map01100,,,,,,,
C01848,map01051,map01052,map01130,,,,,,,
C01849,,,,,,,,,,
C01850,map00350,,,,,,,,,
C01851,map00960,map01064,map01100,map01110,,,,,,
C01852,map00901,map00902,map00950,map01060,map01062,map01063,map01066,map01100,map01110,
C01853,,,,,,,,,,
C01854,map01130,,,,,,,,,
C01855,,,,,,,,,,
C01857,,,,,,,,,,
C01860,map00909,,,,,,,,,
C01861,map00920,map01120,,,,,,,,
C01863,,,,,,,,,,
C01864,,,,,,,,,,
C01865,,,,,,,,,,
C01866,,,,,,,,,,
C01867,,,,,,,,,,
C01868,,,,,,,,,,
C01869,,,,,,,,,,
C01870,,,,,,,,,,
C01871,,,,,,,,,,
C01872,,,,,,,,,,
C01874,,,,,,,,,,
C01875,,,,,,,,,,
C01876,,,,,,,,,,
C01877,map00330,,,,,,,,,
C01879,map00480,map01100,,,,,,,,
C01880,map00930,map01120,map01220,,,,,,,
C01881,,,,,,,,,,
C01882,,,,,,,,,,
C01883,,,,,,,,,,
C01884,,,,,,,,,,
C01885,map00561,map01100,map04714,map04923,map04975,map04977,,,,
C01887,,,,,,,,,,
C01888,map00260,,,,,,,,,
C01889,,,,,,,,,,
C01890,,,,,,,,,,
C01892,,,,,,,,,,
C01893,,,,,,,,,,
C01894,map00780,,,,,,,,,
C01895,map01054,,,,,,,,,
C01897,map01063,map07042,,,,,,,,
C01898,map00500,map01100,,,,,,,,
C01901,,,,,,,,,,
C01902,map00100,map01060,map01062,map01070,map01100,map01110,,,,
C01904,map00040,map01100,,,,,,,,
C01905,,,,,,,,,,
C01906,,,,,,,,,,
C01907,map01057,map01130,,,,,,,,
C01909,,,,,,,,,,
C01910,,,,,,,,,,
C01912,map00522,map01052,map01130,,,,,,,
C01913,,,,,,,,,,
C01915,,,,,,,,,,
C01917,map00524,map01130,,,,,,,,
C01918,,,,,,,,,,
C01920,map00281,,,,,,,,,
C01921,map00120,map00121,map01100,map04976,map04979,,,,,
C01923,,,,,,,,,,
C01924,,,,,,,,,,
C01925,map01130,,,,,,,,,
C01926,,,,,,,,,,
C01927,,,,,,,,,,
C01928,,,,,,,,,,
C01929,map00340,map01100,map01110,,,,,,,
C01930,,,,,,,,,,
C01931,map00970,,,,,,,,,
C01933,,,,,,,,,,
C01934,map00051,map01120,,,,,,,,
C01935,map00500,map01100,map01110,map02010,,,,,,
C01936,,,,,,,,,,
C01937,map04976,,,,,,,,,
C01938,,,,,,,,,,
C01941,map00261,map01130,map07012,,,,,,,
C01942,,,,,,,,,,
C01943,map00100,map01100,map01110,,,,,,,
C01944,map00062,map00071,map00405,map01100,map01130,map01212,,,,
C01945,,,,,,,,,,
C01946,map00522,map01052,map01130,map02010,,,,,,
C01948,,,,,,,,,,
C01949,,,,,,,,,,
C01950,,,,,,,,,,
C01951,,,,,,,,,,
C01952,,,,,,,,,,
C01953,map00140,map01100,map04913,map04925,map04927,map04934,,,,
C01956,,,,,,,,,,
C01957,map00902,map01110,,,,,,,,
C01958,,,,,,,,,,
C01959,map00430,,,,,,,,,
C01960,,,,,,,,,,
C01961,,,,,,,,,,
C01962,map00270,,,,,,,,,
C01963,,,,,,,,,,
C01964,,,,,,,,,,
C01965,,,,,,,,,,
C01967,map00130,,,,,,,,,
C01968,,,,,,,,,,
C01969,,,,,,,,,,
C01970,,,,,,,,,,
C01971,,,,,,,,,,
C01972,,,,,,,,,,
C01977,,,,,,,,,,
C01978,,,,,,,,,,
C01983,map00627,map01120,,,,,,,,
C01984,map00627,map01120,,,,,,,,
C01985,,,,,,,,,,
C01986,,,,,,,,,,
C01987,map00380,map00627,map01120,,,,,,,
C01988,,,,,,,,,,
C01989,map00630,,,,,,,,,
C01990,map00630,,,,,,,,,
C01991,,,,,,,,,,
C01993,,,,,,,,,,
C01995,,,,,,,,,,
C01996,map00564,map04024,map04080,map04721,map04725,map04742,map04810,map04911,map04970,map04971
C01997,,,,,,,,,,
C01998,map00643,map01120,,,,,,,,
C02000,,,,,,,,,,
C02001,,,,,,,,,,
C02002,map04080,,,,,,,,,
C02003,,,,,,,,,,
C02004,map00909,map01062,map01100,map01110,,,,,,
C02006,,,,,,,,,,
C02007,,,,,,,,,,
C02008,,,,,,,,,,
C02009,,,,,,,,,,
C02010,,,,,,,,,,
C02012,,,,,,,,,,
C02013,,,,,,,,,,
C02015,,,,,,,,,,
C02017,map04024,map04080,,,,,,,,
C02018,,,,,,,,,,
C02020,,,,,,,,,,
C02021,,,,,,,,,,
C02022,,,,,,,,,,
C02023,,,,,,,,,,
C02024,,,,,,,,,,
C02026,,,,,,,,,,
C02027,,,,,,,,,,
C02028,,,,,,,,,,
C02029,map00908,map01110,map04075,,,,,,,
C02030,,,,,,,,,,
C02031,,,,,,,,,,
C02033,map00524,map01130,,,,,,,,
C02034,map00904,,,,,,,,,
C02035,map00904,map01100,map01110,,,,,,,
C02037,,,,,,,,,,
C02038,,,,,,,,,,
C02040,,,,,,,,,,
C02041,map01040,map01212,,,,,,,,
C02043,map00380,,,,,,,,,
C02045,,,,,,,,,,
C02046,map00960,map01064,map01100,map01110,,,,,,
C02047,map00970,,,,,,,,,
C02048,,,,,,,,,,
C02049,map04973,,,,,,,,,
C02050,map01040,map01212,,,,,,,,
C02051,map00260,,,,,,,,,
C02052,,,,,,,,,,
C02055,,,,,,,,,,
C02056,,,,,,,,,,
C02057,,,,,,,,,,
C02058,,,,,,,,,,
C02059,map00130,map01100,map01110,map04977,,,,,,
C02060,,,,,,,,,,
C02061,map00195,map01100,,,,,,,,
C02064,,,,,,,,,,
C02065,,,,,,,,,,
C02066,map00960,,,,,,,,,
C02067,map00240,,,,,,,,,
C02069,,,,,,,,,,
C02072,,,,,,,,,,
C02073,,,,,,,,,,
C02074,map00901,map01110,,,,,,,,
C02075,map00830,map04977,,,,,,,,
C02076,map00710,,,,,,,,,
C02077,,,,,,,,,,
C02078,map01130,,,,,,,,,
C02079,map00404,map01130,,,,,,,,
C02080,,,,,,,,,,
C02081,,,,,,,,,,
C02083,,,,,,,,,,
C02084,map00920,map01120,map02020,,,,,,,
C02085,,,,,,,,,,
C02086,,,,,,,,,,
C02087,,,,,,,,,,
C02088,,,,,,,,,,
C02089,,,,,,,,,,
C02090,map00480,map01100,,,,,,,,
C02091,map00230,map01120,,,,,,,,
C02094,map00830,map00906,map01060,map01062,map01070,map01100,map01110,map04977,,
C02095,,,,,,,,,,
C02096,,,,,,,,,,
C02097,,,,,,,,,,
C02099,,,,,,,,,,
C02100,,,,,,,,,,
C02101,,,,,,,,,,
C02103,,,,,,,,,,
C02104,,,,,,,,,,
C02105,map00950,map01063,map01100,map01110,,,,,,
C02106,map00950,map01063,map01100,map01110,,,,,,
C02107,,,,,,,,,,
C02108,,,,,,,,,,
C02110,map00830,map01100,map04744,,,,,,,
C02111,,,,,,,,,,
C02112,map04745,map04975,map04977,,,,,,,
C02115,,,,,,,,,,
C02116,,,,,,,,,,
C02117,,,,,,,,,,
C02118,,,,,,,,,,
C02119,,,,,,,,,,
C02122,,,,,,,,,,
C02123,map00630,,,,,,,,,
C02124,map00361,map01100,map01120,map01220,,,,,,
C02125,,,,,,,,,,
C02126,,,,,,,,,,
C02128,,,,,,,,,,
C02129,,,,,,,,,,
C02130,,,,,,,,,,
C02131,,,,,,,,,,
C02132,,,,,,,,,,
C02133,,,,,,,,,,
C02134,map00950,map01110,,,,,,,,
C02135,map04072,map04080,map04261,map04270,map04614,map04924,map04925,map04927,map04931,map04933
C02137,map00360,map00627,map01120,,,,,,,
C02138,,,,,,,,,,
C02139,map00860,map01100,map01110,,,,,,,
C02140,map00140,map01100,map04923,map04925,map05020,,,,,
C02141,map00100,map01100,map01110,,,,,,,
C02142,,,,,,,,,,
C02143,,,,,,,,,,
C02144,,,,,,,,,,
C02146,,,,,,,,,,
C02147,,,,,,,,,,
C02150,,,,,,,,,,
C02151,map00901,map01110,,,,,,,,
C02153,map00966,map01110,map01210,,,,,,,
C02154,,,,,,,,,,
C02155,,,,,,,,,,
C02159,,,,,,,,,,
C02160,map02010,,,,,,,,,
C02161,map00380,,,,,,,,,
C02162,map01061,map01110,,,,,,,,
C02163,map00970,,,,,,,,,
C02165,map00590,map01100,map03320,map04080,map04726,map04750,map04976,map07034,,
C02166,map00590,map01100,map04080,map04664,map04726,map04976,map05310,,,
C02167,map00350,map01100,map01120,,,,,,,
C02168,,,,,,,,,,
C02170,map00240,map00280,map00640,,,,,,,
C02171,,,,,,,,,,
C02172,map00380,,,,,,,,,
C02173,,,,,,,,,,
C02174,,,,,,,,,,
C02179,,,,,,,,,,
C02180,,,,,,,,,,
C02181,,,,,,,,,,
C02183,map00627,map01120,,,,,,,,
C02185,map00195,map01100,,,,,,,,
C02186,,,,,,,,,,
C02188,map00310,,,,,,,,,
C02189,map00512,map00515,map00532,map01100,,,,,,
C02191,map00860,map01100,map01110,,,,,,,
C02193,,,,,,,,,,
C02195,,,,,,,,,,
C02196,,,,,,,,,,
C02197,,,,,,,,,,
C02198,map00590,map01100,map04080,map04611,map04726,map07034,,,,
C02199,map00520,,,,,,,,,
C02200,,,,,,,,,,
C02201,,,,,,,,,,
C02202,,,,,,,,,,
C02203,,,,,,,,,,
C02204,,,,,,,,,,
C02205,,,,,,,,,,
C02206,,,,,,,,,,
C02207,,,,,,,,,,
C02209,,,,,,,,,,
C02210,map04080,map04915,,,,,,,,
C02211,,,,,,,,,,
C02213,,,,,,,,,,
C02214,,,,,,,,,,
C02216,,,,,,,,,,
C02217,,,,,,,,,,
C02218,map00270,,,,,,,,,
C02220,map00380,map01100,,,,,,,,
C02221,,,,,,,,,,
C02222,map00361,map00362,map00364,map00627,map01100,map01120,map01220,,,
C02223,,,,,,,,,,
C02224,,,,,,,,,,
C02225,map00640,,,,,,,,,
C02226,map00290,map00660,map01100,map01210,,,,,,
C02227,,,,,,,,,,
C02230,,,,,,,,,,
C02231,,,,,,,,,,
C02232,map00360,map00362,map00930,map01100,map01120,,,,,
C02233,,,,,,,,,,
C02234,,,,,,,,,,
C02235,map00627,map01120,,,,,,,,
C02236,map00623,map01120,map01220,,,,,,,
C02237,map00471,,,,,,,,,
C02240,,,,,,,,,,
C02241,,,,,,,,,,
C02242,,,,,,,,,,
C02243,,,,,,,,,,
C02244,,,,,,,,,,
C02245,,,,,,,,,,
C02246,,,,,,,,,,
C02247,map00405,map00627,map00999,map01120,map01130,,,,,
C02248,,,,,,,,,,
C02249,map01040,map01212,map04216,map04913,,,,,,
C02252,,,,,,,,,,
C02253,,,,,,,,,,
C02255,,,,,,,,,,
C02256,,,,,,,,,,
C02257,,,,,,,,,,
C02261,,,,,,,,,,
C02262,map00052,map02060,,,,,,,,
C02264,,,,,,,,,,
C02265,map00360,map04742,,,,,,,,
C02266,map00040,,,,,,,,,
C02267,,,,,,,,,,
C02269,,,,,,,,,,
C02270,,,,,,,,,,
C02271,map00625,map01120,,,,,,,,
C02272,,,,,,,,,,
C02273,map00040,map01100,map02010,,,,,,,
C02274,map00624,map01120,,,,,,,,
C02277,,,,,,,,,,
C02278,,,,,,,,,,
C02280,map00053,map00520,map01100,map01110,,,,,,
C02282,map00970,map01100,,,,,,,,
C02283,,,,,,,,,,
C02284,,,,,,,,,,
C02287,,,,,,,,,,
C02288,,,,,,,,,,
C02289,,,,,,,,,,
C02290,,,,,,,,,,
C02291,map00260,map00270,map01100,map01110,map01130,map01230,,,,
C02293,,,,,,,,,,
C02294,,,,,,,,,,
C02295,map00760,map01120,,,,,,,,
C02297,,,,,,,,,,
C02298,map00380,,,,,,,,,
C02299,,,,,,,,,,
C02301,map04714,,,,,,,,,
C02303,,,,,,,,,,
C02304,,,,,,,,,,
C02305,,,,,,,,,,
C02306,,,,,,,,,,
C02307,,,,,,,,,,
C02308,,,,,,,,,,
C02311,,,,,,,,,,
C02314,,,,,,,,,,
C02315,,,,,,,,,,
C02318,,,,,,,,,,
C02319,,,,,,,,,,
C02320,map00480,map00983,,,,,,,,
C02321,map00900,,,,,,,,,
C02323,,,,,,,,,,
C02324,,,,,,,,,,
C02325,map00940,map01061,map01100,map01110,,,,,,
C02327,,,,,,,,,,
C02328,,,,,,,,,,
C02330,map00520,map01100,,,,,,,,
C02331,map00650,,,,,,,,,
C02332,,,,,,,,,,
C02333,,,,,,,,,,
C02334,,,,,,,,,,
C02335,map00410,map00640,,,,,,,,
C02336,map00520,,,,,,,,,
C02337,,,,,,,,,,
C02338,,,,,,,,,,
C02339,,,,,,,,,,
C02341,map00660,,,,,,,,,
C02342,,,,,,,,,,
C02343,,,,,,,,,,
C02344,map00902,map01062,map01110,,,,,,,
C02345,,,,,,,,,,
C02347,,,,,,,,,,
C02348,map00230,map01120,,,,,,,,
C02350,map00230,map01100,map01120,,,,,,,
C02351,,,,,,,,,,
C02352,map00520,map01100,,,,,,,,
C02353,map00230,,,,,,,,,
C02354,map00240,,,,,,,,,
C02355,map00240,,,,,,,,,
C02356,map00270,map01100,,,,,,,,
C02357,map00364,map01120,map01220,,,,,,,
C02359,map00364,map01100,map01120,map01220,,,,,,
C02360,,,,,,,,,,
C02362,map00250,,,,,,,,,
C02363,,,,,,,,,,
C02364,map00364,map01100,map01120,map01220,,,,,,
C02366,,,,,,,,,,
C02367,,,,,,,,,,
C02370,map00364,map00621,map01100,map01120,map01220,,,,,
C02371,map00364,map01100,map01120,map01220,,,,,,
C02372,map00627,map01120,,,,,,,,
C02373,map00140,,,,,,,,,
C02374,,,,,,,,,,
C02375,map00361,map01100,map01120,map01220,,,,,,
C02376,map00240,,,,,,,,,
C02377,,,,,,,,,,
C02378,map00930,map01100,map01120,,,,,,,
C02379,,,,,,,,,,
C02380,map00983,map04976,,,,,,,,
C02381,,,,,,,,,,
C02385,,,,,,,,,,
C02389,,,,,,,,,,
C02390,,,,,,,,,,
C02391,,,,,,,,,,
C02394,map01060,map01110,,,,,,,,
C02395,,,,,,,,,,
C02399,,,,,,,,,,
C02400,map00522,map01130,,,,,,,,
C02401,,,,,,,,,,
C02403,,,,,,,,,,
C02404,,,,,,,,,,
C02405,map00630,,,,,,,,,
C02410,,,,,,,,,,
C02411,map00362,map00650,map01120,,,,,,,
C02412,map00970,,,,,,,,,
C02413,,,,,,,,,,
C02415,,,,,,,,,,
C02419,,,,,,,,,,
C02420,,,,,,,,,,
C02421,,,,,,,,,,
C02424,,,,,,,,,,
C02426,map00040,map01100,,,,,,,,
C02427,,,,,,,,,,
C02429,,,,,,,,,,
C02430,map00970,,,,,,,,,
C02431,map00051,map01120,,,,,,,,
C02434,,,,,,,,,,
C02436,,,,,,,,,,
C02440,,,,,,,,,,
C02441,,,,,,,,,,
C02442,map00350,,,,,,,,,
C02444,,,,,,,,,,
C02445,,,,,,,,,,
C02446,,,,,,,,,,
C02447,,,,,,,,,,
C02451,,,,,,,,,,
C02452,map00902,map00903,map01110,,,,,,,
C02453,,,,,,,,,,
C02454,,,,,,,,,,
C02455,,,,,,,,,,
C02456,,,,,,,,,,
C02457,map00561,,,,,,,,,
C02461,,,,,,,,,,
C02462,map00902,map01062,map01100,map01110,,,,,,
C02463,map00860,map01100,map01110,map01120,,,,,,
C02465,map00350,map01100,map04080,map04714,map04918,map04919,map04976,map05320,,
C02466,,,,,,,,,,
C02467,,,,,,,,,,
C02469,map00860,,,,,,,,,
C02470,map00380,,,,,,,,,
C02471,,,,,,,,,,
C02472,,,,,,,,,,
C02473,,,,,,,,,,
C02474,map00520,,,,,,,,,
C02475,,,,,,,,,,
C02476,,,,,,,,,,
C02477,map00130,map01060,map01100,map01110,map04216,map04977,,,,
C02478,,,,,,,,,,
C02479,,,,,,,,,,
C02480,map00362,map01100,map01120,map01220,,,,,,
C02483,map00130,map01100,map01110,,,,,,,
C02484,,,,,,,,,,
C02485,map00902,map01110,,,,,,,,
C02486,,,,,,,,,,
C02487,,,,,,,,,,
C02488,map00620,,,,,,,,,
C02489,,,,,,,,,,
C02490,,,,,,,,,,
C02492,map00051,,,,,,,,,
C02493,,,,,,,,,,
C02494,,,,,,,,,,
C02495,map00943,map01110,,,,,,,,
C02496,,,,,,,,,,
C02497,,,,,,,,,,
C02498,,,,,,,,,,
C02499,,,,,,,,,,
C02501,map00362,map00621,map01100,map01120,map01220,,,,,
C02502,,,,,,,,,,
C02504,map00290,map00620,map01100,map01110,map01210,map01230,,,,
C02505,map00360,map00643,map01120,,,,,,,
C02506,,,,,,,,,,
C02507,,,,,,,,,,
C02508,,,,,,,,,,
C02509,,,,,,,,,,
C02512,map00460,map01100,map01110,,,,,,,
C02513,map00981,,,,,,,,,
C02514,map00350,map01100,map01120,,,,,,,
C02515,map00350,map01100,map04918,,,,,,,
C02517,,,,,,,,,,
C02518,,,,,,,,,,
C02519,map00362,map01220,,,,,,,,
C02520,,,,,,,,,,
C02521,,,,,,,,,,
C02522,,,,,,,,,,
C02525,,,,,,,,,,
C02526,map00621,map01100,map01120,map01220,,,,,,
C02527,map00650,map01100,,,,,,,,
C02528,map00120,map00121,map01100,map04976,,,,,,
C02530,map00100,map04913,map04975,map04976,map04977,map04979,,,,
C02532,,,,,,,,,,
C02533,,,,,,,,,,
C02534,,,,,,,,,,
C02535,map00450,,,,,,,,,
C02536,,,,,,,,,,
C02537,map00140,,,,,,,,,
C02538,map00140,map04976,,,,,,,,
C02539,,,,,,,,,,
C02543,,,,,,,,,,
C02545,,,,,,,,,,
C02546,,,,,,,,,,
C02548,,,,,,,,,,
C02549,,,,,,,,,,
C02553,map00970,,,,,,,,,
C02554,map00970,,,,,,,,,
C02555,,,,,,,,,,
C02557,map00522,map01130,,,,,,,,
C02560,,,,,,,,,,
C02562,,,,,,,,,,
C02564,,,,,,,,,,
C02565,map00330,map01100,,,,,,,,
C02567,,,,,,,,,,
C02569,,,,,,,,,,
C02571,map04931,,,,,,,,,
C02572,,,,,,,,,,
C02574,,,,,,,,,,
C02575,map00361,map01100,map01120,,,,,,,
C02576,map00903,,,,,,,,,
C02577,,,,,,,,,,
C02578,,,,,,,,,,
C02579,,,,,,,,,,
C02581,,,,,,,,,,
C02582,,,,,,,,,,
C02583,,,,,,,,,,
C02587,map00790,,,,,,,,,
C02588,map00830,,,,,,,,,
C02589,,,,,,,,,,
C02590,,,,,,,,,,
C02591,map00500,map01100,,,,,,,,
C02592,,,,,,,,,,
C02593,map00062,map00071,map01100,map01212,,,,,,
C02595,,,,,,,,,,
C02596,,,,,,,,,,
C02601,,,,,,,,,,
C02603,,,,,,,,,,
C02604,,,,,,,,,,
C02605,,,,,,,,,,
C02607,,,,,,,,,,
C02611,map01064,,,,,,,,,
C02612,map00290,map00660,map01100,map01210,map01230,,,,,
C02614,map00660,map01100,,,,,,,,
C02615,,,,,,,,,,
C02616,,,,,,,,,,
C02617,map00980,,,,,,,,,
C02621,map00960,,,,,,,,,
C02623,,,,,,,,,,
C02625,map00361,map01120,map01220,,,,,,,
C02627,map00524,map01130,,,,,,,,
C02628,,,,,,,,,,
C02630,map00650,map00660,,,,,,,,
C02631,map00290,map01110,map01210,,,,,,,
C02632,map01120,map01220,map04974,,,,,,,
C02633,map00981,,,,,,,,,
C02634,,,,,,,,,,
C02635,,,,,,,,,,
C02636,,,,,,,,,,
C02637,,,,,,,,,,
C02638,,,,,,,,,,
C02639,,,,,,,,,,
C02640,,,,,,,,,,
C02642,map00240,map00410,map00770,map01100,,,,,,
C02645,,,,,,,,,,
C02646,map00940,map01061,map01100,map01110,,,,,,
C02647,map00330,map01100,,,,,,,,
C02648,,,,,,,,,,
C02652,,,,,,,,,,
C02654,,,,,,,,,,
C02655,,,,,,,,,,
C02656,,,,,,,,,,
C02657,map01059,map01130,,,,,,,,
C02658,,,,,,,,,,
C02659,map00460,map01110,,,,,,,,
C02660,,,,,,,,,,
C02661,,,,,,,,,,
C02666,map00940,map01061,map01100,map01110,,,,,,
C02669,map00052,,,,,,,,,
C02670,map00053,map01100,,,,,,,,
C02671,map00471,,,,,,,,,
C02672,,,,,,,,,,
C02673,map00901,map01110,,,,,,,,
C02674,,,,,,,,,,
C02675,map00943,,,,,,,,,
C02677,,,,,,,,,,
C02678,,,,,,,,,,
C02679,map00061,map00333,map01100,map01130,,,,,,
C02681,,,,,,,,,,
C02682,,,,,,,,,,
C02683,,,,,,,,,,
C02684,,,,,,,,,,
C02685,,,,,,,,,,
C02686,map00600,map01100,,,,,,,,
C02687,,,,,,,,,,
C02691,,,,,,,,,,
C02692,,,,,,,,,,
C02693,map00380,,,,,,,,,
C02695,,,,,,,,,,
C02699,,,,,,,,,,
C02700,map00380,map01100,,,,,,,,
C02702,map00970,,,,,,,,,
C02703,,,,,,,,,,
C02704,,,,,,,,,,
C02705,,,,,,,,,,
C02706,,,,,,,,,,
C02707,,,,,,,,,,
C02709,,,,,,,,,,
C02710,,,,,,,,,,
C02711,,,,,,,,,,
C02712,,,,,,,,,,
C02713,map00520,map01100,map02060,,,,,,,
C02714,map00330,map01100,,,,,,,,
C02715,,,,,,,,,,
C02716,,,,,,,,,,
C02717,,,,,,,,,,
C02718,map00230,,,,,,,,,
C02720,map00627,map01120,,,,,,,,
C02721,,,,,,,,,,
C02722,,,,,,,,,,
C02723,map00960,map01100,map01110,,,,,,,
C02724,,,,,,,,,,
C02725,,,,,,,,,,
C02726,,,,,,,,,,
C02727,map00310,,,,,,,,,
C02728,,,,,,,,,,
C02729,,,,,,,,,,
C02730,map00130,map01100,map01110,,,,,,,
C02732,,,,,,,,,,
C02734,map00627,map01120,,,,,,,,
C02735,,,,,,,,,,
C02736,,,,,,,,,,
C02737,map00260,map00564,map01100,map01110,map05140,map05146,map05322,,,
C02739,map00340,map01100,map01110,map01230,,,,,,
C02740,,,,,,,,,,
C02741,map00340,map01100,map01110,map01230,,,,,,
C02743,,,,,,,,,,
C02744,,,,,,,,,,
C02745,,,,,,,,,,
C02749,,,,,,,,,,
C02750,,,,,,,,,,
C02752,,,,,,,,,,
C02753,,,,,,,,,,
C02755,,,,,,,,,,
C02756,,,,,,,,,,
C02757,,,,,,,,,,
C02758,map04080,,,,,,,,,
C02759,map00903,,,,,,,,,
C02761,,,,,,,,,,
C02762,,,,,,,,,,
C02763,map00360,,,,,,,,,
C02764,,,,,,,,,,
C02765,map00360,map01063,map01100,,,,,,,
C02766,,,,,,,,,,
C02768,,,,,,,,,,
C02771,,,,,,,,,,
C02773,map00565,,,,,,,,,
C02774,,,,,,,,,,
C02775,map00380,,,,,,,,,
C02777,,,,,,,,,,
C02778,,,,,,,,,,
C02779,,,,,,,,,,
C02780,,,,,,,,,,
C02781,,,,,,,,,,
C02782,,,,,,,,,,
C02783,,,,,,,,,,
C02784,,,,,,,,,,
C02785,,,,,,,,,,
C02787,,,,,,,,,,
C02789,,,,,,,,,,
C02790,,,,,,,,,,
C02791,,,,,,,,,,
C02792,,,,,,,,,,
C02793,,,,,,,,,,
C02794,,,,,,,,,,
C02796,,,,,,,,,,
C02797,,,,,,,,,,
C02798,map00440,map01100,map01120,map01130,,,,,,
C02800,map00860,,,,,,,,,
C02801,,,,,,,,,,
C02802,map00364,map01120,,,,,,,,
C02803,,,,,,,,,,
C02804,,,,,,,,,,
C02805,,,,,,,,,,
C02806,,,,,,,,,,
C02807,,,,,,,,,,
C02808,,,,,,,,,,
C02809,,,,,,,,,,
C02810,,,,,,,,,,
C02811,map00253,map01057,map01130,,,,,,,
C02812,,,,,,,,,,
C02814,map00361,map00362,map00627,map01100,map01120,,,,,
C02816,,,,,,,,,,
C02817,,,,,,,,,,
C02821,,,,,,,,,,
C02822,,,,,,,,,,
C02823,map00860,map01100,,,,,,,,
C02824,map00930,map01120,,,,,,,,
C02825,,,,,,,,,,
C02827,,,,,,,,,,
C02828,,,,,,,,,,
C02834,,,,,,,,,,
C02835,map00340,,,,,,,,,
C02837,,,,,,,,,,
C02838,,,,,,,,,,
C02839,map00970,,,,,,,,,
C02843,map00062,map00073,map01110,map04931,,,,,,
C02845,,,,,,,,,,
C02846,,,,,,,,,,
C02847,,,,,,,,,,
C02850,,,,,,,,,,
C02851,,,,,,,,,,
C02852,,,,,,,,,,
C02853,,,,,,,,,,
C02854,,,,,,,,,,
C02855,map00260,,,,,,,,,
C02856,,,,,,,,,,
C02857,,,,,,,,,,
C02858,,,,,,,,,,
C02860,,,,,,,,,,
C02862,,,,,,,,,,
C02863,,,,,,,,,,
C02864,,,,,,,,,,
C02866,,,,,,,,,,
C02867,,,,,,,,,,
C02868,,,,,,,,,,
C02869,,,,,,,,,,
C02871,,,,,,,,,,
C02872,,,,,,,,,,
C02876,map00640,map00660,map01100,,,,,,,
C02879,,,,,,,,,,
C02880,map00860,map01100,map01110,,,,,,,
C02882,,,,,,,,,,
C02884,,,,,,,,,,
C02885,,,,,,,,,,
C02886,,,,,,,,,,
C02887,map00940,,,,,,,,,
C02888,map00051,map02060,,,,,,,,
C02890,map00950,map01110,,,,,,,,
C02892,map00730,map01100,,,,,,,,
C02893,,,,,,,,,,
C02894,,,,,,,,,,
C02895,,,,,,,,,,
C02896,,,,,,,,,,
C02897,,,,,,,,,,
C02899,,,,,,,,,,
C02900,,,,,,,,,,
C02903,,,,,,,,,,
C02904,,,,,,,,,,
C02905,,,,,,,,,,
C02906,map00941,map01110,,,,,,,,
C02909,map00626,map01120,map01220,,,,,,,
C02912,,,,,,,,,,
C02914,,,,,,,,,,
C02915,map00950,map01110,,,,,,,,
C02916,map00950,map01110,,,,,,,,
C02917,,,,,,,,,,
C02918,map00760,map01100,map04976,,,,,,,
C02919,,,,,,,,,,
C02920,map00943,map01110,,,,,,,,
C02921,,,,,,,,,,
C02922,,,,,,,,,,
C02923,map00622,map00623,map00626,map01100,map01120,map01220,,,,
C02924,,,,,,,,,,
C02926,,,,,,,,,,
C02927,,,,,,,,,,
C02928,,,,,,,,,,
C02929,,,,,,,,,,
C02930,map00760,map01120,,,,,,,,
C02932,,,,,,,,,,
C02933,map00361,map01120,map01220,,,,,,,
C02934,map00600,map01100,,,,,,,,
C02937,map00380,map00966,map01110,map01210,,,,,,
C02938,map00380,,,,,,,,,
C02939,map00280,map01100,,,,,,,,
C02940,,,,,,,,,,
C02941,,,,,,,,,,
C02942,,,,,,,,,,
C02943,,,,,,,,,,
C02944,,,,,,,,,,
C02945,,,,,,,,,,
C02946,map00330,map01100,,,,,,,,
C02947,map00940,map00941,map00945,map01100,map01110,,,,,
C02948,,,,,,,,,,
C02949,map00130,map00362,map00364,map00627,map01100,map01110,map01120,map01220,,
C02951,,,,,,,,,,
C02952,,,,,,,,,,
C02953,map00790,map01100,,,,,,,,
C02954,map00311,map01130,map07011,map07012,,,,,,
C02956,,,,,,,,,,
C02957,,,,,,,,,,
C02960,map00600,,,,,,,,,
C02961,,,,,,,,,,
C02962,map00051,map01120,,,,,,,,
C02964,,,,,,,,,,
C02965,,,,,,,,,,
C02967,,,,,,,,,,
C02970,map00572,map01100,,,,,,,,
C02972,map00260,,,,,,,,,
C02975,,,,,,,,,,
C02977,map00051,map00520,,,,,,,,
C02979,,,,,,,,,,
C02980,,,,,,,,,,
C02982,,,,,,,,,,
