,X.1,X,CID,Inchikey,SID,KEGGID,Name,Name_1,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,Class
4303,6410,3882,440370,GRXIELRCPYIEQI-UHFFFAOYSA-N,7135,C04524,2-Protocatechoylphloroglucinolcarboxylate,"2-(3,4-Dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",,,,,,,Phenylpropanoids and polyketides
4304,6416,3888,11954051,GSAMVXYBVGOJMK-UHFFFAOYSA-N,17395798,C14800,"1-Nitronaphthalene-5,6-oxide",,map00980,,,,,,Benzenoids
4305,6420,3893,439556,GSDBGCKBBJVPNC-SCSAIBSYSA-N,4863,C01726,D-Lombricine,,map00260,,,,,,Organic acids and derivatives
4306,6433,3907,5282074,GSSOWCUOWLMMRJ-UHFFFAOYSA-N,14281,C12134,2'-Hydroxygenistein,"2',4',5,7-Tetrahydroxyisoflavone",map00943,,,,,,Phenylpropanoids and polyketides
4307,6440,3916,444797,GTOFKXZQQDSVFH-SECBINFHSA-N,12004,C09816,Benzylsuccinate,(R)-2-Benzylsuccinate,map00623,map01100,map01120,map01220,,,Phenylpropanoids and polyketides
4308,6450,3928,173,GUAHPAJOXVYFON-UHFFFAOYSA-N,4327,C01092,8-Amino-7-oxononanoate,8-Amino-7-oxononanoic acid,,,,,,,Lipids and lipid-like molecules
4309,6451,3929,9832301,GUARTUJKFNAVIK-QPTWMBCESA-N,354339131,C21788,Tulathromycin A,,,,,,,,Organic oxygen compounds
4310,6460,3941,439865,GUCUXPJTVXMEKL-JHBQCQMPSA-N,5873,C02956,7beta-Hydroxysteroid,,,,,,,,Lipids and lipid-like molecules
4311,6468,3951,104730,GUTLYIVDDKVIGB-UHFFFAOYSA-N,124489843,C19171,Cobalt,,,,,,,,Homogeneous metal compounds
4312,6480,3965,92136156,GVEIZEMJOBQMCQ-VKHMYHEASA-N,315431304,C21181,(2S)-3-Sulfolactaldehyde,,,,,,,,Organic acids and derivatives
4313,6484,3969,159930,GVGJRXSJJHLPGZ-DZAVYMGKSA-N,103061389,C17956,Grandifloric acid,,,,,,,,Lipids and lipid-like molecules
4314,6490,3977,240339,GVKVGOGUDSJCLX-OFELHODLSA-N,17396440,C15443,"3-(Allyloxy)estra-1,3,5(10)-triene-16beta,17beta-diol","3-(2-Propenyloxy)estra-1,3,5(10)-triene-16beta,17beta-diol",,,,,,,Lipids and lipid-like molecules
4315,6495,3983,46174001,GVTFSJLFFJEHAD-CSMHCCOUSA-N,96024122,C17824,(+/-)-Asarinol A,,,,,,,,Lipids and lipid-like molecules
4316,6500,3989,5280528,GVVPGTZRZFNKDS-YFHOEESVSA-N,6785,C04093,poly-cis-Polyprenyl diphosphate,,,,,,,,Lipids and lipid-like molecules
4317,6508,3998,233493,GWIXIEVQSOLTQI-XSSYPUMDSA-N,17396004,C15007,"2-Nitroestra-1,3,5(10)-triene-3,17beta-diol",2-Nitroestradiol,,,,,,,Lipids and lipid-like molecules
4318,6510,4002,27653,GWUDZEJIEQLLHN-UHFFFAOYSA-N,96023742,C17389,Zinc lactate,,,,,,,,Organic acids and derivatives
4319,6520,4013,226965,GXDIDDARPBFKNG-UHFFFAOYSA-N,17396066,C15069,"4,4'-(Butane-1,1-diyl)diphenol","1,1-Bis(4-hydroxyphenyl)butane",,,,,,,Benzenoids
4320,6531,4025,3284,GXRZIMHKGDIBEW-UHFFFAOYSA-N,10034,C07832,Ethinamate,,,,,,,,Organic oxygen compounds
4321,6540,4036,441658,GYLVPQXQQPMCKK-UHFFFAOYSA-O,10788,C08595,Capensinidin,,,,,,,,Phenylpropanoids and polyketides
4322,6541,4037,104757,GYNOTJLCULOEIM-XKRJZGAWSA-N,124490257,C19585,Aflatoxin Q1,,map00980,,,,,,Phenylpropanoids and polyketides
4323,6550,4048,126970643,GYYOKOIBHIWNHE-SECBINFHSA-N,96023637,C17229,Pentahomomethionine,L-Pentahomomethionine,map00966,map01210,,,,,Organic acids and derivatives
4324,6566,4066,9877306,GZQKNULLWNGMCW-PWQABINMSA-N,854153,C13908,Diphosphoryl hexaacyl lipid A,,,,,,,,Organic oxygen compounds
4325,6570,4072,13878324,GZUNPCNPOLOTLX-INIZCTEOSA-N,96023231,C16707,(S)-Autumnaline,Autumnaline,map00950,map01063,map01110,,,,Alkaloids and derivatives
4326,6577,4081,86962,HABHUTWTLGRDDU-UHFFFAOYSA-N,51090915,C16588,2-Oxopimelate,alpha-Ketopimelate,map00680,map01120,map01210,,,,Organic acids and derivatives
4327,6580,4084,146903,HAGOOZVJLSSXGZ-UHFFFAOYSA-N,51090916,C16589,2-Oxosuberate,2-Oxooctanedionic acid,map00680,map01120,map01210,,,,Organic acids and derivatives
4328,6590,4096,5273569,HAVWRBANWNTOJX-UHFFFAOYSA-N,11456,C09265,Fraxetin,,,,,,,,Phenylpropanoids and polyketides
4329,6593,4099,97226,HAWSQZCWOQZXHI-FQEVSTJZSA-N,96024160,C17939,10-Hydroxycamptothecin,,,,,,,,Alkaloids and derivatives
4330,6600,4108,440854,HBDWQSHEVMSFGY-STHAYSLISA-N,8231,C05947,L-erythro-4-Hydroxyglutamate,,map00330,map01100,,,,,Organic acids and derivatives
4331,6609,4119,657237,HBUBKKRHXORPQB-FJFJXFQQSA-N,336445188,C21550,Fludarabine,2F-Ara-A,,,,,,,"Nucleosides, nucleotides, and analogues"
4332,6621,4133,9877911,HCWPIIXVSYCSAN-IGMARMGPSA-N,47205752,C16456,Radium-226,,,,,,,,Homogeneous metal compounds
4333,6640,4153,279064,HDLNHIIKSUHARQ-UHFFFAOYSA-N,13039,C10856,Convolvine,,,,,,,,Benzenoids
4334,6650,4166,441901,HDXIQHTUNGFJIC-SFYWSABLSA-N,11111,C08919,Yamogenin 3-O-neohesperidoside,,,,,,,,Lipids and lipid-like molecules
4335,6651,4167,17473,HDYANYHVCAPMJV-LXQIFKJMSA-N,3467,C00167,UDP-glucuronate,UDPglucuronate,,,,,,,"Nucleosides, nucleotides, and analogues"
4336,6660,4177,6212,HEDRZPFGACZZDS-UHFFFAOYSA-N,854072,C13827,Chloroform,,,,,,,,Organohalogen compounds
4337,6670,4189,99613,HEMSJKZDHNSSEW-UHFFFAOYSA-N,5804,C02868,Lecanoric acid,Orsellinate depside,,,,,,,Phenylpropanoids and polyketides
4338,6679,4201,34766,HEZNVIYQEUHLNI-UHFFFAOYSA-N,124489323,C18649,Ethiofencarb,,,,,,,,Benzenoids
4339,6680,4202,7111,HFACYLZERDEVSX-UHFFFAOYSA-N,47205740,C16444,Benzidine,,,,,,,,Benzenoids
4340,6690,4214,441868,HFMLTKBZNAPPNY-CEKKCSHUSA-N,11070,C08877,Rhodexin A,Sarmentogenin 3-O-alpha-L-rhamnoside,,,,,,,Lipids and lipid-like molecules
4341,6694,4219,7463,HFPZCAJZSCWRBC-UHFFFAOYSA-N,8804,C06575,p-Cymene,,map00622,map01120,map01220,,,,Lipids and lipid-like molecules
4342,6700,4226,440431,HFYBTHCYPKEDQQ-RITPCOANSA-N,7249,C04666,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,D-erythro-Imidazole-glycerol 3-phosphate,map00340,map01065,map01100,map01110,map01230,,Organic acids and derivatives
4343,6709,4235,440172,HGKMWYVYIMDKCV-VYNVVFCLSA-N,6671,C03948,N-Glycolyl-D-mannosaminolactone,Glycolyl-D-mannosaminolactone,,,,,,,Organic acids and derivatives
4344,6710,4236,2227,HGMDNMBBCKDWTQ-UHFFFAOYSA-N,5950,C03047,Arcaine,"1,4-Diguanidinobutane",,,,,,,Organic nitrogen compounds
4345,6720,4248,73399,HGXBRUKMWQGOIE-AFHBHXEDSA-N,7741,C05366,(+)-Pinoresinol,,map00999,map01061,map01110,,,,"Lignans, neolignans and related compounds"
4346,6730,4259,5356754,HHGLRTMNBJCNJN-FPLPWBNLSA-N,17396463,C15466,"N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)maleamic acid",,,,,,,,Phenylpropanoids and polyketides
4347,6742,4273,443398,HHRNQOGXBRYCHF-LBPRGKRZSA-N,13933,C11769,R-Soterenol,,,,,,,,Benzenoids
4348,6759,4293,5462259,HIIZAGQWABAMRR-BYPYZUCNSA-N,6905,C04236,(2S)-2-Isopropyl-3-oxosuccinate,3-Carboxy-4-methyl-2-oxopentanoate,map00290,map01100,map01110,map01210,,,Organic acids and derivatives
4349,6770,4306,11954203,HIWPGCMGAMJNRG-CQUJWQHSSA-N,17396540,C15548,2-alpha-D-Glucosyl-D-glucose,,,,,,,,Organic oxygen compounds
4350,6780,4317,83845,HJEZFVLKJYFNQW-FKKRWUELSA-N,582820,C12430,13-Dihydrodaunorubicin,,map01057,map01130,,,,,Phenylpropanoids and polyketides
4351,6790,4329,442583,HJNJAUYFFFOFBW-UHFFFAOYSA-N,12210,C10024,"Baicalein 5,6,7-trimethyl ether",,,,,,,,Phenylpropanoids and polyketides
4352,6791,4331,86289236,HJQWLHMLMCDAEL-UEOCDHLLSA-N,254741215,C20747,(R)-Malyl-CoA,(3R)-3-Carboxy-3-hydroxypropanoyl-CoA,,,,,,,Lipids and lipid-like molecules
4353,6801,4343,6324616,HJYYPODYNSCCOU-ODRIEIDWSA-N,14199,C12044,Rifamycin,Rifamycin SV,map01051,map01130,,,,,Phenylpropanoids and polyketides
4354,6810,4354,5280844,HKIMBCGCVPYUTJ-NTUHNPAUSA-N,8141,C05848,4-Hydroxy-3-polyprenylbenzoate,,map00130,map01100,map01110,,,,Lipids and lipid-like molecules
4355,6820,4364,7516,HKOOXMFOFWEVGF-UHFFFAOYSA-N,5358,C02304,Phenylhydrazine,Hydrazinobenzene,,,,,,,Benzenoids
4356,6829,4375,439605,HKXLAGBDJVHRQG-YFKPBYRVSA-N,5036,C01930,L-Lysinamide,,,,,,,,Organic acids and derivatives
4357,6830,4376,381152,HKZQJZIFODOLFR-UHFFFAOYSA-N,5054,C01951,Piperitenone,,,,,,,,Lipids and lipid-like molecules
4358,6840,4387,93072,HLKXYZVTANABHZ-REOHCLBHSA-N,3727,C00438,N-Carbamoyl-L-aspartate,,map00240,map00250,map01100,,,,Organic acids and derivatives
4359,6850,4399,46173324,HLXRGRMMMNFZHD-UHFFFAOYSA-N,163311977,C20234,5-Guanidino-3-methyl-2-oxopentanoate,5-Carbamimidamido-3-methyl-2-oxopentanoate,,,,,,,Organic acids and derivatives
4360,6855,4406,17559,HMEKVHWROSNWPD-UHFFFAOYSA-N,163312074,C20336,Alphazurine FG,,,,,,,,Benzenoids
4361,6860,4412,10877291,HMFHBZSHGGEWLO-ZRMNMSDTSA-N,295369329,C21067,D-Arabinofuranose,,,,,,,,Organic oxygen compounds
4362,6869,4423,160481,HMUJXQRRKBLVOO-AWEZNQCLSA-N,7712,C05334,Isosakuranetin,"4'-Methoxy-5,7-dihydroxyflavonone",,,,,,,Phenylpropanoids and polyketides
4363,6870,4424,156247,HMWLZIQJSYGFHO-NZQZLILVSA-N,135626094,C17181,Kylinone,,,,,,,,Organic oxygen compounds
4364,6879,4435,643798,HNEGQIOMVPPMNR-IHWYPQMZSA-N,5291,C02226,2-Methylmaleate,Citraconate,map00290,map00660,map01100,map01210,,,Lipids and lipid-like molecules
4365,6880,4436,638129,HNEGQIOMVPPMNR-NSCUHMNNSA-N,4868,C01732,Mesaconate,2-Methylfumarate,map00630,map00660,map01100,map01120,map01200,,Lipids and lipid-like molecules
4366,6890,4447,11339,HNSDLXPSAYFUHK-UHFFFAOYSA-N,10076,C07874,"1,4-Bis(2-ethylhexyl) sulfosuccinate",Docusate hydrogen,,,,,,,Lipids and lipid-like molecules
4367,6900,4458,656501,HOEWKBQADMRCLO-UIUGZIMDSA-N,6465,C03691,CMP-N-glycoloylneuraminate,CMP-N-glycolylneuraminate,map00520,,,,,,"Nucleosides, nucleotides, and analogues"
4368,6909,4469,17816,HOMAGVUCNZNWBC-UHFFFAOYSA-N,124489990,C19318,Allyl isovalerate,,,,,,,,Lipids and lipid-like molecules
4369,6920,4482,439235,HOSWPDPVFBCLSY-VKHMYHEASA-N,3730,C00441,L-Aspartate 4-semialdehyde,Aspartate beta-semialdehyde,,,,,,,Organic acids and derivatives
4370,6925,4488,5281752,HPDHKHMHQGCNPE-QLJRNOHWSA-N,12582,C10396,Senkirkine,,,,,,,,Phenylpropanoids and polyketides
4371,6930,4493,5284583,HPHUVLMMVZITSG-LURJTMIESA-N,10043,C07841,Levetiracetam,,,,,,,,Organic acids and derivatives
4372,6940,4503,85568,HPOHAUWWDDPHRS-ZJUUUORDSA-N,5943,C03039,(+)-trans-Piperitenol,,,,,,,,Lipids and lipid-like molecules
4373,6950,4514,11966169,HQANBZHVWIDNQZ-GMHMEAMDSA-N,7650,C05263,3-Oxododecanoyl-CoA,,map00062,map00071,map01100,map01212,,,Lipids and lipid-like molecules
4374,6952,4517,6918788,HQFNFOOGGLSBBT-AWNIVKPZSA-N,17396631,C15641,XCT 790,,,,,,,,Phenylpropanoids and polyketides
4375,6960,4525,11954108,HQWPPVLSHLFTDY-HGUQNLGYSA-N,17396130,C15133,"4-Methyl-4-aza-5-pregnene-3,20-dione",,,,,,,,Lipids and lipid-like molecules
4376,6964,4529,230614,HREDZMAPXFYEQW-LTFPLMDUSA-N,17396274,C15277,"3-Hydroxy-19-norpregna-1,3,5(10)-trien-20-one",,,,,,,,Lipids and lipid-like molecules
4377,6970,4537,15519422,HRODALWRJULFHW-FMVYZHRWSA-N,582711,C12321,dTDP-L-epivancosamine,dTDP-beta-L-4-epi-vancosamine,map01055,map01130,,,,,"Nucleosides, nucleotides, and analogues"
4378,6994,4564,5280567,HSHNITRMYYLLCV-UHFFFAOYSA-N,5979,C03081,4-Methylumbelliferone,Hymecromone,,,,,,,Phenylpropanoids and polyketides
4379,7000,4571,53297400,HSQXIUDISYBBAW-UHFFFAOYSA-N,124489383,C18709,Decaketide tricyclic intermediate,,map01057,map01130,,,,,Benzenoids
4380,7010,4583,443027,HTBWBWWADZJXID-TXEJJXNPSA-N,13076,C10893,Schizandrin C,Wuweizisu C,,,,,,,Phenylpropanoids and polyketides
4381,7011,4584,6450275,HTDHRCLVWUEXIS-HNVSNYHQSA-N,47205739,C16443,trans-Zeatin-7-beta-D-glucoside,,map00908,map01110,,,,,Organic oxygen compounds
4382,7020,4594,5375469,HTTDEAQRSCMCQS-UHFFFAOYSA-N,47205690,C16392,"4-Hydroxylamino-2,6-dinitrotoluene",,map00633,map01120,,,,,Benzenoids
4383,7028,4604,656523,HUCGRJSHMZWRQQ-LJBAHSCYSA-N,10596,C08400,Glucoalyssin,5-Methylsulfinylpentyl glucosinolate,,,,,,,Organic oxygen compounds
4384,7030,4606,5282199,HUCXKZBETONXFO-NJFMWZAGSA-N,586041,C13297,Geranylgeranylacetone,Teprenone,,,,,,,Lipids and lipid-like molecules
4385,7040,4617,240,HUMNYLRZRPPJDN-UHFFFAOYSA-N,3559,C00261,Benzaldehyde,Benzoic aldehyde,map00623,map00627,map01120,map01220,,,Benzenoids
4386,7045,4623,7070,HUWXDEQWWKGHRV-UHFFFAOYSA-N,124489897,C19225,"3,3'-Dichlorobenzidine",,,,,,,,Benzenoids
4387,7050,4628,114739,HVDGDHBAMCBBLR-PBHICJAKSA-N,96024381,C18165,Enterolactone,,,,,,,,"Lignans, neolignans and related compounds"
4388,7060,4639,11349,HVQAJTFOCKOKIN-UHFFFAOYSA-N,4665,C01495,Flavonol,,map01060,,,,,,Phenylpropanoids and polyketides
4389,7078,4659,5572,HWHLPVGTWGOCJO-UHFFFAOYSA-N,9380,C07171,Trihexyphenidyl,,,,,,,,Organic nitrogen compounds
4390,7080,4662,9934458,HWVNEWGKWRGSRK-UHFFFAOYSA-N,17396615,C15625,GW 0742,,,,,,,,Benzenoids
4391,7090,4675,442188,HXHKKYNHNQVAAX-HNNXBMFYSA-N,11568,C09377,Caseadine,,,,,,,,Alkaloids and derivatives
4392,7095,4681,8951,HXKCUQDTMDYZJD-UHFFFAOYSA-N,124490132,C19460,Methyl selenac,Tetrakis(dimethyldithiocarbamato)-selenium,,,,,,,Organosulfur compounds
4393,7110,4699,122250,HXXFSFRBOHSIMQ-DVKNGEFBSA-N,3932,C00663,beta-D-Glucose 1-phosphate,,map00500,,,,,,Organic oxygen compounds
4394,7120,4712,11903,HYFLWBNQFMXCPA-UHFFFAOYSA-N,17395572,C14572,2-Ethyltoluene,o-Methylethylbenzene,,,,,,,Benzenoids
4395,7130,4722,185766,HYPKUHLLPBGDLF-IAAKTDFRSA-N,163311811,C17763,6-Hydroxyluteolin 7-glucoside,,,,,,,,Phenylpropanoids and polyketides
4396,7131,4723,13505,HYPPXZBJBPSRLK-UHFFFAOYSA-N,10074,C07872,Diphenoxylate,,,,,,,,Benzenoids
4397,7140,4733,12898,HYVWIQDYBVKITD-UHFFFAOYSA-N,124489571,C18899,Tolylfluanid,,,,,,,,Benzenoids
4398,7141,4734,4044,HYYBABOKPJLUIN-UHFFFAOYSA-N,5243,C02168,Mefenamic acid,,,,,,,,Benzenoids
4399,7150,4744,6510110,HZDIJTXDRLNTIS-QPJJXVBHSA-N,124489717,C19045,Butenachlor,,,,,,,,Benzenoids
4400,7155,4749,6336,HZJKXKUJVSEEFU-UHFFFAOYSA-N,124489151,C18477,Myclobutanil,,,,,,,,Benzenoids
4401,7160,4756,253934,HZTLJZSOMGPVTM-UHFFFAOYSA-N,17396052,C15055,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol acetate",,,,,,,,Phenylpropanoids and polyketides
4402,7168,4766,5281002,HZZVJAQRINQKSD-INJCQMSSSA-N,13997,C11833,Isoclavulanic acid,,,,,,,,Organic acids and derivatives
4403,7170,4769,119219,IADQVXRMSNIUEL-UHFFFAOYSA-N,6744,C04043,"3,4-Dihydroxyphenylacetaldehyde",Protocatechuatealdehyde,map00350,map00950,map01100,map01110,,,Benzenoids
4404,7180,4782,86429,IANUJLZYFUDJIH-UHFFFAOYSA-N,124489405,C18731,Flufenacet,,,,,,,,Benzenoids
4405,7181,4783,134601,IAOZJIPTCAWIRG-QWRGUYRKSA-N,13228,C11045,Aspartame,,map04742,,,,,,Organic acids and derivatives
4406,7190,4794,5281798,IAXBXCJUSPUULA-RHTWPPHESA-N,12682,C10499,Suspensaside,,,,,,,,Phenylpropanoids and polyketides
4407,7193,4797,441929,IBAJNOZMACNWJD-HVUPOBLPSA-N,11147,C08955,beta-Hederin,,,,,,,,Lipids and lipid-like molecules
4408,7200,4805,440303,IBGYNIRCYXIAON-VKHMYHEASA-N,6998,C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate","3-Deoxy-D-glycero-2,5-hexodiulosonate",map00040,,,,,,Organic acids and derivatives
4409,7210,4816,73669,IBZHOAONZVJLOB-UHFFFAOYSA-N,124489802,C19130,Tridiphane,,,,,,,,Benzenoids
4410,7220,4828,46174065,ICLFWLHIBPQMFT-UHFFFAOYSA-N,96024388,C18172,Carboxyspermidine,2-Amino-4-[(4-aminobutyl)amino]-butanoic acid,map00330,map01100,,,,,Organic acids and derivatives
4411,7221,4829,440852,ICMJZHFYQVZYQN-GSVOUGTGSA-N,8226,C05941,2-Oxo-4-hydroxy-5-aminovalerate,,map00330,,,,,,Organic acids and derivatives
4412,7230,4839,164634,ICRHFCVRNWSKQH-UHFFFAOYSA-N,10595,C08399,Carlina oxide,,,,,,,,Benzenoids
4413,7233,4843,6231,ICTXHFFSOAJUMG-SLHNCBLASA-N,7847059,C14249,Norethynodrel,,,,,,,,Lipids and lipid-like molecules
4414,7250,4864,5281734,IDIMIWQPUHURPV-WTWIWYCDSA-N,12519,C10333,Isatidine,Retrorsine N-oxide,,,,,,,Alkaloids and derivatives
4415,7262,4876,9543134,IDVOAQDDLQQSLO-CXCAYBSSSA-N,12012,C09824,"2,6-Dihydroxycyclohexane-1-carboxyl-CoA",,,,,,,,Lipids and lipid-like molecules
4416,7270,4885,442463,IECBDTGWSQNQID-UHFFFAOYSA-N,13568,C11394,(+)-Chrysanthenone,,,,,,,,Lipids and lipid-like molecules
4417,7277,4894,5282094,IEHPLRVWOHZKCS-NSCUHMNNSA-N,14350,C12204,5-Hydroxyconiferaldehyde,,map00940,map01061,map01100,map01110,,,Benzenoids
4418,7280,4897,76852,IELUPRVYGHTVHQ-UHFFFAOYSA-N,47205556,C16248,"2,6-Dibromohydroquinone",,map00364,map01120,map01220,,,,Benzenoids
4419,7290,4908,65115,IFBHRQDFSNCLOZ-YBXAARCKSA-N,7079,C04452,4-Nitrophenol-alpha-D-galactopyranoside,,,,,,,,Organic oxygen compounds
4420,7291,4909,11803469,IFBHVTFUCLENGH-LJLGRGJKSA-N,47205051,C15725,Nostocyclopeptide A3,,,,,,,,Organic acids and derivatives
4421,7310,4932,44229185,IGGGNUSEBUZFTR-YETNCWQZSA-N,172232246,C20497,"N-Acetyl-beta-D-mannosaminuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol",Und-PP-Glcc-MancA,,,,,,,Lipids and lipid-like molecules
4422,7320,4943,9548569,IGUZJYCAXLYZEE-RFZPGFLSSA-N,8496,C06257,1-Deoxy-D-xylulose,,,,,,,,Organic oxygen compounds
4423,7322,4946,68081,IGWDEVSBEKYORK-UHFFFAOYSA-N,96023462,C16976,Isoimperatorin,,,,,,,,Phenylpropanoids and polyketides
4424,7330,4955,242487,IHHKCVMULSSIQO-RHNZQBAGSA-N,17396332,C15335,3beta-Hydroxy-5-androsten-16-one,5-Androsten-3beta-ol-16-one,,,,,,,Lipids and lipid-like molecules
4425,7337,4964,442261,IHPVFYLOGNNZLA-ZDUSSCGKSA-N,11670,C09479,Betagarin,"5,2'-Dimethoxy-6,7-methylenedioxyflavanone",,,,,,,Phenylpropanoids and polyketides
4426,7340,4967,5281315,IHTCCHVMPGDDSL-IVNGUWCNSA-N,10986,C08793,Cucurbitacin A,,,,,,,,Lipids and lipid-like molecules
4427,7350,4979,11966143,IIKOXWXMCPEVLL-DJVIHCHSSA-N,4102,C00845,2-Furoyl-CoA,,map00365,map01120,,,,,Lipids and lipid-like molecules
4428,7360,4991,18597,IJALWSVNUBBQRA-UHFFFAOYSA-N,17395739,C14741,4-Isopropyl-3-methylphenol,4-Isopropyl-m-cresol,,,,,,,Benzenoids
4429,7368,5001,947,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3965,C00697,Nitrogen,N2,map00910,map01100,map01120,map02020,map02060,,Homogeneous non-metal compounds
4430,7370,5003,46173793,IJJNPDQFXCRKOA-WHRNYZGVSA-N,14094,C11933,dTDP-D-mycaminose,dTDP-alpha-D-mycaminose,map00522,map00523,map01130,,,,"Nucleosides, nucleotides, and analogues"
4431,7380,5015,5281778,IKASMYQBXBUEQS-AEAUTZEXSA-N,12649,C10466,Hellicoside,,,,,,,,Phenylpropanoids and polyketides
4432,7381,5016,8374,IKCLCGXPQILATA-UHFFFAOYSA-N,5404,C02357,2-Chlorobenzoate,2-Chlorobenzoic acid,map00364,map01120,map01220,,,,Benzenoids
4433,7390,5027,5281672,IKMDFBPHZNJCSN-UHFFFAOYSA-N,12293,C10107,Myricetin,"3,5,7,3',4',5'-Hexahydroxyflavone",map00941,map00944,map01110,,,,Phenylpropanoids and polyketides
4434,7400,5038,6011,IKXILDNPCZPPRV-RFMGOVQKSA-N,17395605,C14605,Metholone,Dromostanolone,,,,,,,Lipids and lipid-like molecules
4435,7403,5042,5281416,ILEDWLMCKZNDJK-UHFFFAOYSA-N,11454,C09263,Esculetin,Aesculetin,map01061,,,,,,Phenylpropanoids and polyketides
4436,7410,5051,439780,ILLOJQCWUBEHBA-JAJWTYFOSA-N,5628,C02655,6-Acetyl-D-glucose,,,,,,,,Organic oxygen compounds
4437,7418,5059,439258,ILRYLPWNYFXEMH-WHFBIAKZSA-N,5347,C02291,L-Cystathionine,,map00260,map00270,map01100,map01110,map01130,map01230,Organic acids and derivatives
4438,7420,5063,440960,ILXHFXFPPZGENN-HWQSCIPKSA-N,8479,C06238,L-Arabinose 1-phosphate,,,,,,,,Organic acids and derivatives
4439,7432,5078,5832,IMONTRJLAWHYGT-ZCPXKWAGSA-N,10352,C08152,Norethindrone acetate,Norethisterone acetate,,,,,,,Lipids and lipid-like molecules
4440,7440,5087,15459,IMWZZHHPURKASS-UHFFFAOYSA-N,10136,C07934,Metaxalone,,,,,,,,Benzenoids
4441,7447,5096,440194,INAPMGSXUVUWAF-LXOASSSBSA-N,6716,C04006,1D-myo-Inositol 3-phosphate,D-myo-Inositol 3-phosphate,map00521,map00562,map01100,map01130,map04070,,Organic oxygen compounds
4442,7450,5099,65094,INBGSXNNRGWLJU-ZHHJOTBYSA-N,17396511,C15519,25-Hydroxycholesterol,"Cholest-5-ene-3beta,25-diol",map00120,,,,,,Lipids and lipid-like molecules
4443,7460,5112,3519,INJOMKTZOLKMBF-UHFFFAOYSA-N,9249,C07037,Guanfacine,,,,,,,,Benzenoids
4444,7464,5116,5312889,INMKWUNQKOWGEZ-VQHVLOKHSA-N,47205617,C16309,Traumatin,(10E)-12-Oxododecenoic acid,map00592,map01110,,,,,Lipids and lipid-like molecules
4445,7470,5122,5459308,INYYVPJSBIVGPH-QHRIQVFBSA-N,11833,C09643,Sinomenine,,,,,,,,Alkaloids and derivatives
4446,7478,5131,5318865,IOLDDENZPBFBHV-UHFFFAOYSA-N,96023959,C17615,Kukoamine A,,,,,,,,Benzenoids
4447,7490,5145,135585373,IOYNQIMAUDJVEI-BMVIKAAMSA-N,124489214,C18540,Tepraloxydim,,,,,,,,Organic oxygen compounds
4448,7493,5148,31229,IPBVNPXQWQGGJP-UHFFFAOYSA-N,3829,C00548,Phenyl acetate,Acetylphenol,,,,,,,Benzenoids
4449,7500,5157,8561,IPKKHRVROFYTEK-UHFFFAOYSA-N,17395300,C14300,Di-n-pentyl phthalate,Diamyl phthalate,,,,,,,Benzenoids
4450,7508,5167,189733,IPTJZZUYNOWWHM-UHFFFAOYSA-N,51090885,C16556,Aldoifosfamide,,map00982,,,,,,Organic acids and derivatives
4451,7510,5169,12298,IPWFJLQDVFKJDU-UHFFFAOYSA-N,4960,C01842,Pentanamide,Valeramide,,,,,,,Lipids and lipid-like molecules
4452,7520,5182,5789,IQFYYKKMVGJFEH-XLPZGREQSA-N,3514,C00214,Thymidine,Deoxythymidine,map00240,map01100,,,,,"Nucleosides, nucleotides, and analogues"
4453,7530,5193,5281760,IQRPXVABWMLCMZ-LOMYTOQZSA-N,12617,C10432,1-Caffeoyl-4-deoxyquinic acid,,,,,,,,Phenylpropanoids and polyketides
4454,7538,5202,9561767,IRFSYLYJKJQLIR-VGSXEYKCSA-N,17396363,C15366,Estrone 16-oxime,"3-Hydroxyestra-1,3,5(10)-triene-16,17-dione 16-oxime",,,,,,,Lipids and lipid-like molecules
4455,7540,5204,68171,IRHTZOCLLONTOC-UHFFFAOYSA-N,10577,C08381,Hexacosan-1-ol,1-Hexacosanol,,,,,,,Lipids and lipid-like molecules
4456,7550,5215,5281304,IRQXZTBHNKVIRL-GOTQHHPNSA-N,10942,C08749,Bruceantin,,,,,,,,Lipids and lipid-like molecules
4457,7554,5219,9272,IRVDMKJLOCGUBJ-UHFFFAOYSA-N,124489708,C19036,Thionazin,,,,,,,,Organic acids and derivatives
4458,7571,5239,11291,ISFHAYSTHMVOJR-UHFFFAOYSA-N,9992,C07790,Phenindamine,,,,,,,,Benzenoids
4459,7580,5249,13832989,ISQXIVZPNCPLCO-JLYUAXMOSA-O,10835,C08642,Heavenly blue anthocyanin,Peonidin 3-(2-(6-(3-(glucosyl)caffeoyl)glucosyl)-6-(4-(6-(3-(glucosyl)caffeoyl)glucosyl)caffeoyl)glucoside) 5-glucoside,,,,,,,Phenylpropanoids and polyketides
